car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
51,1,maxda rx3,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9,68,5000,30,31,5195
52,1,maxda glc deluxe,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9,68,5000,31,38,6095
53,1,mazda rx2 coupe,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9,68,5000,31,38,6795
54,1,mazda rx-4,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9,68,5000,31,38,6695
55,1,mazda glc deluxe,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9,68,5000,31,38,7395
56,3,mazda 626,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945
57,3,mazda glc,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845
58,3,mazda rx-7 gs,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645
59,3,mazda glc 4,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645
60,1,mazda 626,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845
61,0,mazda glc custom l,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495
62,1,mazda glc custom,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595
63,0,mazda rx-4,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
64,0,mazda glc deluxe,diesel,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,3.39,3.39,22.7,64,4650,36,42,10795
65,0,mazda 626,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
66,0,mazda glc,gas,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8,120,5000,19,27,18280
67,0,mazda rx-7 gs,diesel,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22,72,4200,31,39,18344
68,-1,buick electra 225 custom,diesel,turbo,4,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552
69,-1,buick century luxus (sw),diesel,turbo,4,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
70,0,buick century,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176
71,-1,buick skyhawk,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600
72,-1,buick opel isuzu deluxe,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184
73,3,buick skylark,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056
74,0,buick century special,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8,184,4500,14,16,40960
75,1,buick regal sport coupe (turbo),gas,std,2,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8,184,4500,14,16,45400
76,1,mercury cougar,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,4,140,mpfi,3.78,3.12,8,175,5000,19,24,16503
77,2,mitsubishi mirage,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389
78,2,mitsubishi lancer,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189
79,2,mitsubishi outlander,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669
80,1,mitsubishi g4,gas,turbo,2,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689
81,3,mitsubishi mirage g4,gas,turbo,2,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959
82,3,mitsubishi g4,gas,std,2,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499
83,3,mitsubishi outlander,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7,145,5000,19,24,12629
84,3,mitsubishi g4,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7,145,5000,19,24,14869
85,3,mitsubishi mirage g4,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7,145,5000,19,24,14489
86,1,mitsubishi montero,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989
87,1,mitsubishi pajero,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189
88,1,mitsubishi outlander,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
89,-1,mitsubishi mirage g4,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
90,1,Nissan versa,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
91,1,nissan gt-r,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099
92,1,nissan rogue,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649
93,1,nissan latio,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849
94,1,nissan titan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349
95,1,nissan leaf,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299
96,1,nissan juke,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799
97,1,nissan latio,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499
98,1,nissan note,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999
99,2,nissan clipper,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249
100,0,nissan rogue,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949
101,0,nissan nv200,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549
102,0,nissan dayz,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,17,22,13499
103,0,nissan fuga,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,17,22,14399
104,0,nissan otti,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,19,25,13499
105,3,nissan teana,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9,160,5200,19,25,17199
106,3,nissan kicks,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699
107,1,nissan clipper,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9,160,5200,19,25,18399
108,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900
109,0,peugeot 304,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.7,3.52,21,95,4150,28,33,13200
110,0,peugeot 504 (sw),gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440
111,0,peugeot 504,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.7,3.52,21,95,4150,25,25,13860
112,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580
113,0,peugeot 604sl,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21,95,4150,28,33,16900
114,0,peugeot 504,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695
115,0,peugeot 505s turbo diesel,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.7,3.52,21,95,4150,25,25,17075
116,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
117,0,peugeot 504,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21,95,4150,28,33,17950
118,0,peugeot 604sl,gas,turbo,4,sedan,rwd,front,108,186.7,68.3,56,3130,l,4,134,mpfi,3.61,3.21,7,142,5600,18,24,18150
119,1,plymouth fury iii,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572
120,1,plymouth cricket,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957
121,1,plymouth fury iii,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
122,1,plymouth satellite custom (sw),gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
123,1,plymouth fury gran sedan,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
124,-1,plymouth valiant,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921
125,3,plymouth duster,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7,145,5000,19,24,12764
126,3,porsche macan,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018
127,3,porcshce panamera,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
128,3,porsche cayenne,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028
129,3,porsche boxter,gas,std,2,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028
130,1,porsche cayenne,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10,288,5750,17,28,31400.5
131,0,renault 12tl,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295
132,2,renault 5 gtl,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895
133,3,saab 99e,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850
134,2,saab 99le,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170
135,3,saab 99le,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040
136,2,saab 99gle,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510
137,3,saab 99gle,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,3.54,3.07,9,160,5500,19,26,18150
138,2,saab 99e,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,3.54,3.07,9,160,5500,19,26,18620
139,2,subaru,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,3.62,2.36,9,69,4900,31,36,5118
140,2,subaru dl,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053
141,2,subaru dl,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603
142,0,subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126
143,0,subaru brz,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775
144,0,subaru baja,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,4,108,mpfi,3.62,2.64,9,94,5200,26,32,9960
145,0,subaru r1,gas,std,4,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,24,25,9233
146,0,subaru r2,gas,turbo,4,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259
147,0,subaru trezia,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,28,32,7463
148,0,subaru tribeca,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,4,108,mpfi,3.62,2.64,9,94,5200,25,31,10198
149,0,subaru dl,gas,std,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9,82,4800,23,29,8013
150,0,subaru dl,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694
151,1,toyota corona mark ii,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9,62,4800,35,39,5348
152,1,toyota corona,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9,62,4800,31,38,6338
153,1,toyota corolla 1200,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9,62,4800,31,38,6488
154,0,toyota corona hardtop,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9,62,4800,31,37,6918
155,0,toyota corolla 1600 (sw),gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9,62,4800,27,32,7898
156,0,toyota carina,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,3.05,3.03,9,62,4800,27,32,8778
157,0,toyota mark ii,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,4,98,2bbl,3.19,3.03,9,70,4800,30,37,6938
158,0,toyota corolla 1200,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,3.19,3.03,9,70,4800,30,37,7198
159,0,toyota corona,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,34,36,7898
160,0,toyota corolla,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,38,47,7788
161,0,toyota corona,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,4,98,2bbl,3.19,3.03,9,70,4800,38,47,7738
162,0,toyota corolla,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,3.19,3.03,9,70,4800,28,34,8358
163,0,toyota mark ii,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,3.19,3.03,9,70,4800,28,34,9258
